"data","cidade","casos"
"2020-04-05","Iguaba Grande",0
"2020-04-05","Itaboraí",1
"2020-04-05","Itaguaí",0
"2020-04-05","Itaperuna",1
"2020-04-05","Macaé",0
"2020-04-05","Magé",0
"2020-04-05","Mangaratiba",0
"2020-04-05","Maricá",1
"2020-04-05","Mesquita",4
"2020-04-05","Miguel Pereira",0
"2020-04-05","Nilópolis",3
"2020-04-05","Niterói",8
"2020-04-05","Nova Friburgo",1
"2020-04-05","Nova Iguaçu",10
"2020-04-05","Paraíba do Sul",0
"2020-04-05","Petrópolis",0
"2020-04-05","Porciúncula",0
"2020-04-05","Queimados",0
"2020-04-05","Resende",0
"2020-04-05","Rio Bonito",0
"2020-04-05","Rio das Ostras",0
"2020-04-05","Rio de Janeiro",86
"2020-04-05","Seropédica",0
"2020-04-05","São Gonçalo",3
"2020-04-05","São João da Barra",1
"2020-04-05","São João de Meriti",6
"2020-04-05","São Pedro da Aldeia",1
"2020-04-05","Tanguá",1
"2020-04-05","Teresópolis",3
"2020-04-05","Trajano de Moraes",1
"2020-04-05","Três Rios",0
"2020-04-05","Valença",0
"2020-04-05","Volta Redonda",0
"2020-04-06","Angra dos Reis",0
"2020-04-06","Araruama",0
"2020-04-06","Arraial do Cabo",0
"2020-04-06","Barra Mansa",0
"2020-04-06","Barra do Piraí",0
"2020-04-06","Belford Roxo",-1
"2020-04-06","Campos dos Goytacazes",0
"2020-04-06","Duque de Caxias",1
"2020-04-06","Guapimirim",0
"2020-04-06","Iguaba Grande",0
"2020-04-06","Itaboraí",0
"2020-04-06","Itaguaí",1
"2020-04-06","Itaperuna",1
"2020-04-06","Macaé",0
"2020-04-06","Magé",0
"2020-04-06","Mangaratiba",0
"2020-04-06","Maricá",0
"2020-04-06","Mesquita",1
"2020-04-06","Miguel Pereira",0
"2020-04-06","Nilópolis",0
"2020-04-06","Niterói",5
"2020-04-06","Nova Friburgo",2
"2020-04-06","Nova Iguaçu",0
"2020-04-06","Paraíba do Sul",0
"2020-04-06","Petrópolis",3
"2020-04-06","Porciúncula",0
"2020-04-06","Queimados",2
"2020-04-06","Resende",1
"2020-04-06","Rio Bonito",0
"2020-04-06","Rio das Ostras",0
"2020-04-06","Rio de Janeiro",42
"2020-04-06","Seropédica",0
"2020-04-06","São Gonçalo",0
"2020-04-06","São João da Barra",0
"2020-04-06","São João de Meriti",0
"2020-04-06","São Pedro da Aldeia",0
"2020-04-06","Tanguá",0
"2020-04-06","Teresópolis",0
"2020-04-06","Trajano de Moraes",-1
"2020-04-06","Três Rios",0
"2020-04-06","Valença",0
"2020-04-06","Volta Redonda",10
"2020-04-07","Angra dos Reis",1
"2020-04-07","Araruama",0
"2020-04-07","Arraial do Cabo",0
"2020-04-07","Barra Mansa",5
