"city","city_ibge_code","date","epidemiological_week","estimated_population","estimated_population_2019","last_available_confirmed","last_available_confirmed_per_100k_inhabitants","last_available_date","last_available_death_rate","last_available_deaths","new_confirmed","new_deaths"
"Nova Iguaçu",3303500,"2020-03-29",14,823302,821128,3,0.36439,"2020-03-29",0,0,2,0
"Petrópolis",3303906,"2020-03-29",14,306678,306191,4,1.3043,"2020-03-29",0.25,1,1,0
"Resende",3304201,"2020-03-29",14,132312,131341,1,0.75579,"2020-03-29",0,0,0,0
"Rio das Ostras",3304524,"2020-03-29",14,155193,150674,2,1.28872,"2020-03-29",0,0,2,0
"Rio de Janeiro",3304557,"2020-03-29",14,6747815,6718903,516,7.64692,"2020-03-29",0.0252,13,27,4
"Seropédica",3305554,"2020-03-29",14,83092,82312,1,1.20349,"2020-03-29",0,0,1,0
"São Gonçalo",3304904,"2020-03-29",14,1091737,1084839,6,0.54958,"2020-03-29",0,0,2,0
"Valença",3306107,"2020-03-29",14,76869,76523,1,1.30091,"2020-03-29",0,0,0,0
"Volta Redonda",3306305,"2020-03-29",14,273988,273012,11,4.01477,"2020-03-29",0.0909,1,0,0
"Angra dos Reis",3300100,"2020-03-30",14,207044,203785,1,0.48299,"2020-03-30",0,0,1,0
"Barra Mansa",3300407,"2020-03-30",14,184833,184412,1,0.54103,"2020-03-30",0,0,0,0
"Belford Roxo",3300456,"2020-03-30",14,513118,510906,2,0.38977,"2020-03-30",0,0,0,0
"Campos dos Goytacazes",3301009,"2020-03-30",14,511168,507548,1,0.19563,"2020-03-30",0,0,0,0
"Duque de Caxias",3301702,"2020-03-30",14,924624,919596,5,0.54076,"2020-03-30",0,0,0,0
"Guapimirim",3301850,"2020-03-30",14,61388,60517,1,1.62898,"2020-03-30",0,0,0,0
"Itaboraí",3301900,"2020-03-30",14,242543,240592,3,1.23689,"2020-03-30",0,0,0,0
"Mangaratiba",3302601,"2020-03-30",14,45220,44468,1,2.21141,"2020-03-30",0,0,0,0
"Maricá",3302700,"2020-03-30",14,164504,161207,1,0.60789,"2020-03-30",0,0,0,0
"Miguel Pereira",3302908,"2020-03-30",14,25581,25538,1,3.90915,"2020-03-30",1,1,0,0
"Niterói",3303302,"2020-03-30",14,515317,513584,47,9.1206,"2020-03-30",0.0213,1,8,0
"Nova Iguaçu",3303500,"2020-03-30",14,823302,821128,7,0.85023,"2020-03-30",0,0,4,0
"Petrópolis",3303906,"2020-03-30",14,306678,306191,4,1.3043,"2020-03-30",0.25,1,0,0
"Queimados",3304144,"2020-03-30",14,151335,150319,1,0.66079,"2020-03-30",0,0,1,0
"Resende",3304201,"2020-03-30",14,132312,131341,2,1.51158,"2020-03-30",0,0,1,0
"Rio Bonito",3304300,"2020-03-30",14,60573,60201,2,3.3018,"2020-03-30",0.5,1,2,1
"Rio das Ostras",3304524,"2020-03-30",14,155193,150674,2,1.28872,"2020-03-30",0,0,0,0
"Rio de Janeiro",3304557,"2020-03-30",14,6747815,6718903,553,8.19525,"2020-03-30",0.0235,13,37,0
"Seropédica",3305554,"2020-03-30",14,83092,82312,1,1.20349,"2020-03-30",0,0,0,0
"São Gonçalo",3304904,"2020-03-30",14,1091737,1084839,7,0.64118,"2020-03-30",0,0,1,0
"São João de Meriti",3305109,"2020-03-30",14,472906,472406,1,0.21146,"2020-03-30",0,0,1,0
"Teresópolis",3305802,"2020-03-30",14,184240,182594,1,0.54277,"2020-03-30",0,0,1,0
